tweet_id,timestamp
848839_25_961884498261626880,2022-04-02T10:44:07+0000
848839_25_3036839791,2022-04-02T10:46:56+0000
848839_25_1355520603265126401,2022-04-02T10:52:10+0000
848839_25_1350090665904975875,2022-04-02T10:55:45+0000
848839_25_1355520603265126401,2022-04-02T10:57:12+0000
848839_25_1049046394005114880,2022-04-02T11:19:01+0000
848839_25_3647223141,2022-04-02T11:48:47+0000
848839_25_705580346251804672,2022-04-02T12:00:02+0000
848839_25_1458221504,2022-04-02T12:06:40+0000
848839_25_1138617311680716801,2022-04-02T12:22:53+0000
848839_25_1405234177725841408,2022-04-02T12:30:05+0000
848839_25_512694346,2022-04-02T12:31:21+0000
848839_25_1245338132834390016,2022-04-02T12:32:44+0000
848839_25_623566469,2022-04-02T12:34:20+0000
848839_25_2878063612,2022-04-02T12:37:50+0000
848839_25_1496646157367484423,2022-04-02T12:44:42+0000
848839_25_1496646157367484423,2022-04-02T12:46:06+0000
848839_25_1142803253417189376,2022-04-02T12:51:24+0000
848839_25_1487619361863094273,2022-04-02T13:14:02+0000
848839_25_49696975,2022-04-02T13:28:56+0000
848839_25_1397763339057614849,2022-04-02T13:33:59+0000
848839_25_1052554423988236289,2022-04-02T13:51:51+0000
848839_25_1237536240435634176,2022-04-02T14:27:35+0000
848839_25_2801964770,2022-04-02T14:40:28+0000
848839_25_3189964646,2022-04-02T14:51:16+0000
848839_25_1372571386233896967,2022-04-02T15:40:54+0000
848839_25_741083147983564800,2022-04-02T16:11:13+0000
848839_25_156040575,2022-04-02T19:25:09+0000
848839_25_33561958,2022-04-02T20:56:32+0000
848839_25_28583089,2022-04-02T23:41:52+0000
848839_25_1205668263432196098,2022-04-03T01:24:43+0000
848839_25_106914404,2022-04-03T02:33:40+0000
848839_25_705580346251804672,2022-04-03T02:34:45+0000
848839_25_1465198801824600069,2022-04-03T03:37:40+0000
848839_25_1497109010193039412,2022-04-03T07:24:47+0000
848839_25_822476679247437824,2022-04-03T14:10:05+0000
848839_25_4085893933,2022-04-03T17:22:18+0000
896313_1,2022-03-30 09:28:02+00:00
896313_2,2022-03-30 10:02:33+00:00
896313_3,2022-03-30 10:17:55+00:00
896313_4,2022-03-30 17:53:49+00:00
896313_5,2022-03-30 18:08:06+00:00
896313_6,2022-03-30 21:08:04+00:00
896313_7,2022-03-31 10:00:52+00:00
896313_8,2022-04-12 16:16:00+00:00
896313_9,2022-03-30 09:19:58+00:00
896313_9_1382691497871605760,2022-03-30T09:21:23+0000
896313_9_1382691497871605760_1442027612813938688,2022-03-30T09:24:51+0000
896313_9_1382691497871605760_2450615384,2022-03-30T09:41:30+0000
896313_9_2450615384,2022-03-30T09:24:47+0000
896313_9_2450615384_949095611604725760,2022-03-30T10:27:17+0000
896313_9_1303428110046695425,2022-03-30T09:25:46+0000
896313_9_1442027612813938688,2022-03-30T09:27:13+0000
896313_9_1342452699447615489,2022-03-30T09:28:39+0000
896313_9_110663490,2022-03-30T09:31:02+0000
896313_9_2450615384,2022-03-30T09:35:28+0000
896313_9_49696975,2022-03-30T10:00:22+0000
898818_1,2022-04-02 13:46:40+00:00
898818_2,2022-04-02 14:05:23+00:00
898818_3,2022-04-02 16:21:03+00:00
898818_4,2022-04-02 16:37:01+00:00
898818_5,2022-04-02 17:41:25+00:00
898818_6,2022-04-02 19:17:59+00:00
898818_7,2022-04-02 20:37:57+00:00
898818_8,2022-04-02 22:02:29+00:00
898818_9,2022-04-03 00:03:02+00:00
898818_10,2022-04-03 00:04:14+00:00
898818_11,2022-04-03 01:28:27+00:00
898818_12,2022-04-03 04:44:10+00:00
898818_13,2022-04-03 04:45:11+00:00
898818_14,2022-04-03 07:10:06+00:00
898818_15,2022-04-03 09:50:45+00:00
898818_16,2022-04-03 17:55:41+00:00
898818_17,2022-04-03 19:20:16+00:00
898818_18,2022-04-04 03:38:56+00:00
898818_19,2022-04-04 04:38:02+00:00
898818_20,2022-04-04 11:58:22+00:00
898818_21,2022-04-04 15:54:09+00:00
898818_22,2022-04-04 17:31:53+00:00
898818_23,2022-04-04 17:51:37+00:00
898818_24,2022-04-04 19:36:33+00:00
898818_25,2022-04-04 21:09:30+00:00
898818_26,2022-04-04 21:59:10+00:00
898818_27,2022-04-04 23:28:03+00:00
898818_28,2022-04-05 00:05:38+00:00
898818_29,2022-04-07 03:13:23+00:00
898818_30,2022-04-11 23:00:33+00:00
898818_31,2022-04-02 16:26:59+00:00
898818_32,2022-04-03 02:56:26+00:00
898818_32_339395199,2022-04-03T02:56:26+0000
898818_33,2022-04-03 05:35:05+00:00
898818_33_339395199,2022-04-03T05:35:06+0000
898818_34,2022-04-03 12:17:31+00:00
898818_34_1338776000382046208,2022-04-03T12:17:32+0000
920306_1,2022-04-02 14:54:04+00:00
920306_2,2022-04-02 16:39:02+00:00
920306_3,2022-04-02 16:39:08+00:00
920306_4,2022-04-02 17:16:05+00:00
920306_5,2022-04-03 06:18:11+00:00
920306_6,2022-04-03 08:38:22+00:00
920306_7,2022-04-02 14:52:11+00:00
920306_7_1274779539164495874,2022-04-02T14:53:47+0000
920306_7_760604011653271552,2022-04-02T14:57:53+0000
920306_7_1306819237609119744,2022-04-02T14:58:28+0000
920306_7_1506556562206244864,2022-04-02T14:59:29+0000
920306_7_1246211349203398657,2022-04-02T15:01:00+0000
920306_7_418325462,2022-04-02T15:02:10+0000
920306_7_3326984276,2022-04-02T15:05:01+0000
920306_7_1294958829499809792,2022-04-02T15:06:41+0000
920306_7_1294958829499809792,2022-04-02T15:06:51+0000
920306_7_1496639047988617222,2022-04-02T15:26:10+0000
920306_7_1467725106319224835,2022-04-02T15:32:35+0000
920306_7_1467725106319224835_1467725106319224835,2022-04-02T15:33:48+0000
920306_7_37511552,2022-04-02T15:32:50+0000
920306_7_780944722890108928,2022-04-02T15:47:39+0000
920306_7_2404226479,2022-04-02T16:17:53+0000
920306_7_1454508256118902789,2022-04-02T16:35:09+0000
920306_7_182663887,2022-04-02T16:58:55+0000
931403_1,2022-04-02 23:37:01+00:00
931403_2,2022-04-02 23:37:10+00:00
931403_3,2022-04-02 23:41:55+00:00
931403_4,2022-04-03 00:04:05+00:00
931403_5,2022-04-03 00:05:04+00:00
931403_6,2022-04-03 00:08:17+00:00
931403_7,2022-04-03 00:28:19+00:00
931403_8,2022-04-03 01:22:41+00:00
931403_9,2022-04-03 01:40:02+00:00
931403_10,2022-04-03 01:40:35+00:00
931403_11,2022-04-03 02:05:43+00:00
931403_12,2022-04-03 02:26:10+00:00
931403_13,2022-04-03 02:29:00+00:00
931403_14,2022-04-03 02:35:36+00:00
931403_15,2022-04-03 02:42:11+00:00
931403_16,2022-04-03 03:33:20+00:00
